Cus.ID,Date,Cus. Location,Age,Gender,Mobile Name,Sell Price,Does he/she Come from Facebook Page?,Does he/she Followed Our Page?,Did he/she buy any mobile before?,Did he/she hear of our shop before?,
1,27-05-2024,Rangamati Sadar,49,F,Galaxy A55 5G 8/128,17073,No,Yes,No,Yes,
2,27-05-2024,Inside Rangamati,44,M,Redmi Note 12 Pro 8/128,15546,Yes,No,No,Yes,
3,27-05-2024,Rangamati Sadar,45,M,R-70 Turbo 5G 6/128,26516,Yes,No,No,Yes,
4,27-05-2024,Rangamati Sadar,46,M,R-70 Turbo 5G 6/128,21927,No,No,No,Yes,
5,27-05-2024,Outside Rangamati,27,F,Vivo T3x 5G 8/128,16718,Yes,No,No,Yes,
6,27-05-2024,Rangamati Sadar,23,F,Moto G85 5G 8/128,22392,No,No,No,Yes,
7,27-05-2024,Outside Rangamati,25,M,iQOO Z7 5G 6/128,20702,No,No,No,Yes,
8,27-05-2024,Inside Rangamati,26,F,Moto G85 5G 8/128,16090,No,No,No,Yes,
9,27-05-2024,Rangamati Sadar,49,M,Galaxy S24 Ultra 12/256,12819,No,Yes,No,No,
10,27-05-2024,Outside Rangamati,45,M,Vivo Y200 5G 6/128,13597,Yes,Yes,Yes,No,
11,27-05-2024,Inside Rangamati,27,F,iQOO Neo 9 Pro 5G 12/256,40089,Yes,Yes,No,Yes,
12,27-05-2024,Rangamati Sadar,45,M,Moto G85 5G 8/128,18027,No,No,No,No,
13,27-05-2024,Outside Rangamati,47,M,iQOO Z7 5G 6/128,20856,No,No,No,No,
14,27-05-2024,Outside Rangamati,18,F,iQOO Z7 5G 6/128,23106,Yes,No,No,No,
15,27-05-2024,Outside Rangamati,47,F,Note 11S 6/128,17603,No,No,No,Yes,
16,27-05-2024,Inside Rangamati,19,F,Galaxy M35 5G 8/128,25964,No,No,No,Yes,
17,27-05-2024,Rangamati Sadar,45,M,Galaxy A55 5G 8/128,24324,No,No,No,Yes,
18,27-05-2024,Outside Rangamati,44,F,Galaxy S24 Ultra 12/256,15611,Yes,No,No,No,
19,27-05-2024,Rangamati Sadar,50,F,Vivo T3x 5G 8/128,26273,No,No,No,Yes,
20,27-05-2024,Rangamati Sadar,36,M,Pixel 8 Pro 12/256,13441,No,No,Yes,Yes,
21,27-05-2024,Inside Rangamati,41,F,Note 11S 6/128,16181,No,No,Yes,Yes,
22,27-05-2024,Inside Rangamati,29,F,Note 11S 6/128,23246,No,No,No,Yes,
23,27-05-2024,Inside Rangamati,43,F,Note 11S 6/128,21776,No,No,No,No,
24,27-05-2024,Outside Rangamati,19,F,Narzo N53 4/64,12865,Yes,No,Yes,Yes,
25,27-05-2024,Inside Rangamati,45,M,Note 11S 6/128,23318,Yes,No,Yes,Yes,
26,27-05-2024,Rangamati Sadar,25,M,R-70 Turbo 5G 6/128,24032,No,No,Yes,No,
27,28-05-2024,Outside Rangamati,30,M,Galaxy M35 5G 8/128,26174,Yes,No,No,No,
28,28-05-2024,Outside Rangamati,34,F,Moto G85 5G 8/128,26118,No,No,Yes,Yes,
29,28-05-2024,Outside Rangamati,30,M,iQOO Neo 9 Pro 5G 12/256,40496,No,No,No,Yes,
30,28-05-2024,Inside Rangamati,38,M,Note 11S 6/128,23047,No,No,No,Yes,
31,28-05-2024,Inside Rangamati,42,F,Galaxy S24 Ultra 12/256,23249,No,No,No,No,
32,28-05-2024,Outside Rangamati,20,F,Note 14 Pro 5G 8/256,14989,No,No,No,Yes,
33,28-05-2024,Outside Rangamati,36,F,Galaxy S24 Ultra 12/256,37343,No,Yes,Yes,Yes,
34,28-05-2024,Inside Rangamati,43,F,Note 11S 6/128,13867,No,Yes,No,Yes,
35,28-05-2024,Inside Rangamati,32,M,Vivo T3x 5G 8/128,16681,No,No,No,Yes,
36,28-05-2024,Outside Rangamati,38,F,Moto G85 5G 8/128,21576,Yes,No,No,Yes,
37,28-05-2024,Outside Rangamati,30,M,iPhone 16 Pro 256GB,13285,Yes,No,No,Yes,
38,28-05-2024,Inside Rangamati,32,M,Moto G85 5G 8/128,26591,No,Yes,No,No,
39,28-05-2024,Outside Rangamati,20,M,Vivo Y200 5G 6/128,22641,No,Yes,No,Yes,
40,28-05-2024,Outside Rangamati,37,F,Vivo T3x 5G 8/128,26294,Yes,No,No,Yes,
41,28-05-2024,Outside Rangamati,18,F,Pixel 7a 8/128,44608,No,No,No,Yes,
42,28-05-2024,Outside Rangamati,42,M,iQOO Neo 9 Pro 5G 12/256,40262,Yes,No,No,Yes,
43,28-05-2024,Inside Rangamati,31,F,Moto G85 5G 8/128,19318,Yes,No,No,Yes,
44,28-05-2024,Rangamati Sadar,38,M,Moto G85 5G 8/128,20979,Yes,No,Yes,Yes,
45,28-05-2024,Rangamati Sadar,19,F,Galaxy A55 5G 8/128,24179,Yes,No,No,Yes,
46,28-05-2024,Rangamati Sadar,50,M,iQOO Z7 5G 6/128,16479,Yes,No,No,Yes,
47,28-05-2024,Inside Rangamati,27,M,Vivo T3x 5G 8/128,15115,Yes,Yes,Yes,No,
48,28-05-2024,Rangamati Sadar,31,M,Note 11S 6/128,23691,No,No,Yes,Yes,
49,28-05-2024,Outside Rangamati,39,M,R-70 Turbo 5G 6/128,24226,No,No,Yes,No,
50,28-05-2024,Inside Rangamati,18,F,Note 11S 6/128,14427,No,No,No,Yes,
51,28-05-2024,Inside Rangamati,21,M,Pixel 7a 8/128,44670,No,No,Yes,No,
52,28-05-2024,Outside Rangamati,22,M,iQOO Z7 5G 6/128,20905,No,No,No,Yes,
53,28-05-2024,Outside Rangamati,22,F,Pixel 7a 8/128,44975,No,No,No,No,
54,28-05-2024,Rangamati Sadar,22,F,Moto G85 5G 8/128,15063,No,No,Yes,Yes,
55,28-05-2024,Inside Rangamati,49,F,Pixel 7a 8/128,17475,No,Yes,No,Yes,
56,28-05-2024,Outside Rangamati,41,M,iPhone 16 Pro Max 1TB,19566,No,No,No,Yes,
57,28-05-2024,Rangamati Sadar,36,M,iQOO Neo 9 Pro 5G 12/256,40069,Yes,No,Yes,Yes,
58,28-05-2024,Outside Rangamati,21,M,R-70 Turbo 5G 6/128,20730,Yes,Yes,Yes,Yes,
59,28-05-2024,Rangamati Sadar,49,F,iQOO Z7 5G 6/128,20646,No,No,No,Yes,
60,28-05-2024,Rangamati Sadar,41,M,Note 11S 6/128,13066,No,No,No,Yes,
61,28-05-2024,Inside Rangamati,19,M,iQOO Z7 5G 6/128,25349,No,No,Yes,Yes,
62,28-05-2024,Outside Rangamati,25,F,Galaxy A55 5G 8/128,39584,No,Yes,No,No,
63,29-05-2024,Rangamati Sadar,21,M,Moto G85 5G 8/128,26454,No,No,No,Yes,
64,29-05-2024,Outside Rangamati,29,F,iPhone 16 Pro 256GB,66999,No,No,Yes,No,
65,29-05-2024,Rangamati Sadar,40,F,Narzo N53 4/64,25386,No,No,Yes,Yes,
66,29-05-2024,Outside Rangamati,47,F,Pixel 8 Pro 12/256,17874,No,No,No,Yes,
67,29-05-2024,Outside Rangamati,43,M,Pixel 8 Pro 12/256,17738,No,Yes,No,Yes,
68,29-05-2024,Rangamati Sadar,24,F,Pixel 7a 8/128,18449,Yes,Yes,No,No,
69,29-05-2024,Rangamati Sadar,35,F,Redmi Note 12 Pro 8/128,16448,No,No,No,Yes,
70,29-05-2024,Rangamati Sadar,43,M,Note 14 Pro 5G 8/256,36761,Yes,No,No,No,
71,29-05-2024,Outside Rangamati,18,F,Redmi Note 12 Pro 8/128,26820,No,No,No,Yes,
72,29-05-2024,Outside Rangamati,33,F,iPhone 16 Pro 256GB,16885,Yes,Yes,No,Yes,
73,29-05-2024,Inside Rangamati,38,F,Vivo T3x 5G 8/128,25397,Yes,Yes,No,No,
74,29-05-2024,Inside Rangamati,47,F,Narzo N53 4/64,16740,No,No,No,Yes,
75,29-05-2024,Outside Rangamati,23,F,Vivo Y200 5G 6/128,18781,No,Yes,No,Yes,
76,29-05-2024,Inside Rangamati,27,M,Note 14 Pro 5G 8/256,17423,No,No,No,Yes,
